,country,Country_key,year,sex,age,population,suicides/100k pop,gdp_per_capita ($),generation,Happiness_Score
48,Albania, ALB,1993,male,15-24 years,243300,7.4,437,Generation X,4.64400005340576
49,Albania, ALB,1993,male,55-74 years,165000,4.24,437,Silent,4.64400005340576
50,Albania, ALB,1993,male,75+ years,24200,4.13,437,G.I. Generation,4.64400005340576
51,Albania, ALB,1993,male,25-34 years,230100,3.91,437,Boomers,4.64400005340576
52,Albania, ALB,1993,female,15-24 years,285300,3.51,437,Generation X,4.64400005340576
53,Albania, ALB,1993,male,35-54 years,350300,2.85,437,Boomers,4.64400005340576
54,Albania, ALB,1993,female,25-34 years,261800,2.67,437,Boomers,4.64400005340576
55,Albania, ALB,1993,female,35-54 years,331200,2.11,437,Boomers,4.64400005340576
56,Albania, ALB,1993,female,55-74 years,169500,1.18,437,Silent,4.64400005340576
57,Albania, ALB,1993,female,5-14 years,340300,0.29,437,Millenials,4.64400005340576
58,Albania, ALB,1993,male,5-14 years,367000,0.27,437,Millenials,4.64400005340576
59,Albania, ALB,1993,female,75+ years,39300,0.0,437,G.I. Generation,4.64400005340576
60,Albania, ALB,1994,male,75+ years,24600,8.13,697,G.I. Generation,4.64400005340576
61,Albania, ALB,1994,male,55-74 years,171400,6.42,697,Silent,4.64400005340576
62,Albania, ALB,1994,female,75+ years,39900,5.01,697,G.I. Generation,4.64400005340576
63,Albania, ALB,1994,male,25-34 years,231400,2.59,697,Boomers,4.64400005340576
64,Albania, ALB,1994,male,35-54 years,362800,2.48,697,Boomers,4.64400005340576
65,Albania, ALB,1994,male,15-24 years,242200,2.48,697,Generation X,4.64400005340576
66,Albania, ALB,1994,female,15-24 years,282600,2.12,697,Generation X,4.64400005340576
67,Albania, ALB,1994,female,25-34 years,261100,1.53,697,Boomers,4.64400005340576
68,Albania, ALB,1994,female,35-54 years,342500,0.58,697,Boomers,4.64400005340576
69,Albania, ALB,1994,female,55-74 years,174600,0.57,697,Silent,4.64400005340576
70,Albania, ALB,1994,male,5-14 years,371800,0.27,697,Millenials,4.64400005340576
71,Albania, ALB,1994,female,5-14 years,344400,0.0,697,Millenials,4.64400005340576
72,Albania, ALB,1995,male,25-34 years,232900,5.58,835,Generation X,4.64400005340576
73,Albania, ALB,1995,male,55-74 years,178000,5.06,835,Silent,4.64400005340576
74,Albania, ALB,1995,female,75+ years,40800,4.9,835,G.I. Generation,4.64400005340576
75,Albania, ALB,1995,female,15-24 years,283500,4.59,835,Generation X,4.64400005340576
76,Albania, ALB,1995,male,15-24 years,241200,4.56,835,Generation X,4.64400005340576
77,Albania, ALB,1995,male,75+ years,25100,3.98,835,G.I. Generation,4.64400005340576
78,Albania, ALB,1995,male,35-54 years,375900,3.72,835,Boomers,4.64400005340576
79,Albania, ALB,1995,female,25-34 years,264000,2.65,835,Generation X,4.64400005340576
80,Albania, ALB,1995,female,35-54 years,356400,2.24,835,Boomers,4.64400005340576
81,Albania, ALB,1995,male,5-14 years,376500,1.59,835,Millenials,4.64400005340576
82,Albania, ALB,1995,female,55-74 years,180400,1.11,835,Silent,4.64400005340576
83,Albania, ALB,1995,female,5-14 years,348700,0.57,835,Millenials,4.64400005340576
84,Albania, ALB,1996,male,75+ years,25400,7.87,1127,G.I. Generation,4.64400005340576
85,Albania, ALB,1996,male,15-24 years,243600,6.98,1127,Generation X,4.64400005340576
86,Albania, ALB,1996,male,25-34 years,235300,5.95,1127,Generation X,4.64400005340576
87,Albania, ALB,1996,female,15-24 years,287700,5.56,1127,Generation X,4.64400005340576
88,Albania, ALB,1996,female,75+ years,41200,4.85,1127,G.I. Generation,4.64400005340576
89,Albania, ALB,1996,female,25-34 years,267900,3.73,1127,Generation X,4.64400005340576
90,Albania, ALB,1996,male,35-54 years,379600,3.16,1127,Boomers,4.64400005340576
91,Albania, ALB,1996,female,35-54 years,362000,2.49,1127,Boomers,4.64400005340576
92,Albania, ALB,1996,male,55-74 years,179900,1.67,1127,Silent,4.64400005340576
93,Albania, ALB,1996,female,55-74 years,183100,0.55,1127,Silent,4.64400005340576
94,Albania, ALB,1996,male,5-14 years,380400,0.53,1127,Millenials,4.64400005340576
95,Albania, ALB,1996,female,5-14 years,354100,0.28,1127,Millenials,4.64400005340576
96,Albania, ALB,1997,male,25-34 years,236000,15.25,793,Generation X,4.64400005340576
97,Albania, ALB,1997,male,15-24 years,244400,13.5,793,Generation X,4.64400005340576
98,Albania, ALB,1997,male,75+ years,25400,11.81,793,G.I. Generation,4.64400005340576
99,Albania, ALB,1997,male,35-54 years,380800,7.88,793,Boomers,4.64400005340576
100,Albania, ALB,1997,female,15-24 years,294000,7.14,793,Generation X,4.64400005340576
101,Albania, ALB,1997,male,55-74 years,180300,6.66,793,Silent,4.64400005340576
102,Albania, ALB,1997,female,25-34 years,273900,5.84,793,Generation X,4.64400005340576
103,Albania, ALB,1997,female,75+ years,42100,4.75,793,G.I. Generation,4.64400005340576
104,Albania, ALB,1997,female,35-54 years,370100,1.89,793,Boomers,4.64400005340576
105,Albania, ALB,1997,female,5-14 years,361800,1.66,793,Millenials,4.64400005340576
106,Albania, ALB,1997,male,5-14 years,381500,1.05,793,Millenials,4.64400005340576
107,Albania, ALB,1997,female,55-74 years,187000,0.0,793,Silent,4.64400005340576
108,Albania, ALB,1998,male,75+ years,25800,11.63,899,G.I. Generation,4.64400005340576
109,Albania, ALB,1998,male,15-24 years,248800,10.85,899,Generation X,4.64400005340576
110,Albania, ALB,1998,female,15-24 years,295600,10.83,899,Generation X,4.64400005340576
111,Albania, ALB,1998,male,25-34 years,240400,10.82,899,Generation X,4.64400005340576
112,Albania, ALB,1998,male,35-54 years,388200,7.47,899,Boomers,4.64400005340576
113,Albania, ALB,1998,male,55-74 years,183800,4.9,899,Silent,4.64400005340576
114,Albania, ALB,1998,female,25-34 years,275300,3.63,899,Generation X,4.64400005340576
115,Albania, ALB,1998,female,55-74 years,188200,3.19,899,Silent,4.64400005340576
116,Albania, ALB,1998,female,35-54 years,372100,2.42,899,Boomers,4.64400005340576
117,Albania, ALB,1998,male,5-14 years,388400,0.51,899,Millenials,4.64400005340576
118,Albania, ALB,1998,female,5-14 years,363800,0.27,899,Millenials,4.64400005340576
119,Albania, ALB,1998,female,75+ years,42300,0.0,899,G.I. Generation,4.64400005340576
120,Albania, ALB,1999,male,75+ years,25900,11.58,1127,G.I. Generation,4.64400005340576
121,Albania, ALB,1999,male,15-24 years,250600,9.58,1127,Generation X,4.64400005340576
122,Albania, ALB,1999,female,75+ years,42400,9.43,1127,G.I. Generation,4.64400005340576
123,Albania, ALB,1999,male,35-54 years,391100,7.93,1127,Boomers,4.64400005340576
124,Albania, ALB,1999,male,25-34 years,242300,7.84,1127,Generation X,4.64400005340576
125,Albania, ALB,1999,male,55-74 years,185200,7.56,1127,Silent,4.64400005340576
126,Albania, ALB,1999,female,15-24 years,296800,6.4,1127,Generation X,4.64400005340576
127,Albania, ALB,1999,female,25-34 years,276500,4.7,1127,Generation X,4.64400005340576
128,Albania, ALB,1999,female,55-74 years,188800,3.18,1127,Silent,4.64400005340576
129,Albania, ALB,1999,female,35-54 years,373600,1.34,1127,Boomers,4.64400005340576
130,Albania, ALB,1999,female,5-14 years,365200,0.27,1127,Millenials,4.64400005340576
131,Albania, ALB,1999,male,5-14 years,391300,0.0,1127,Millenials,4.64400005340576
132,Albania, ALB,2000,male,25-34 years,232000,7.33,1299,Generation X,4.64400005340576
133,Albania, ALB,2000,male,55-74 years,177400,5.64,1299,Silent,4.64400005340576
134,Albania, ALB,2000,female,75+ years,37800,5.29,1299,G.I. Generation,4.64400005340576
135,Albania, ALB,2000,male,75+ years,24900,4.02,1299,G.I. Generation,4.64400005340576
136,Albania, ALB,2000,female,15-24 years,263900,2.27,1299,Generation X,4.64400005340576
137,Albania, ALB,2000,male,15-24 years,240000,2.08,1299,Generation X,4.64400005340576
138,Albania, ALB,2000,female,35-54 years,332200,1.51,1299,Boomers,4.64400005340576
139,Albania, ALB,2000,female,25-34 years,245800,1.22,1299,Generation X,4.64400005340576
140,Albania, ALB,2000,male,35-54 years,374700,1.07,1299,Boomers,4.64400005340576
141,Albania, ALB,2000,male,5-14 years,374900,0.27,1299,Millenials,4.64400005340576
142,Albania, ALB,2000,female,5-14 years,324700,0.0,1299,Millenials,4.64400005340576
143,Albania, ALB,2000,female,55-74 years,168000,0.0,1299,Silent,4.64400005340576
144,Albania, ALB,2001,male,25-34 years,206484,10.65,1451,Generation X,4.64400005340576
145,Albania, ALB,2001,male,35-54 years,378826,8.98,1451,Boomers,4.64400005340576
146,Albania, ALB,2001,male,55-74 years,196670,5.59,1451,Silent,4.64400005340576
147,Albania, ALB,2001,female,75+ years,47254,4.23,1451,Silent,4.64400005340576
148,Albania, ALB,2001,male,15-24 years,256039,3.91,1451,Millenials,4.64400005340576
149,Albania, ALB,2001,female,15-24 years,271359,3.32,1451,Millenials,4.64400005340576
150,Albania, ALB,2001,female,35-54 years,370191,3.24,1451,Boomers,4.64400005340576
151,Albania, ALB,2001,male,75+ years,31044,3.22,1451,Silent,4.64400005340576
152,Albania, ALB,2001,female,55-74 years,189799,3.16,1451,Silent,4.64400005340576
153,Albania, ALB,2001,male,5-14 years,321556,1.87,1451,Millenials,4.64400005340576
154,Albania, ALB,2001,female,25-34 years,222771,1.8,1451,Generation X,4.64400005340576
155,Albania, ALB,2001,female,5-14 years,307356,0.65,1451,Millenials,4.64400005340576
156,Albania, ALB,2002,male,75+ years,31007,12.9,1573,Silent,4.64400005340576
157,Albania, ALB,2002,male,25-34 years,206286,11.15,1573,Generation X,4.64400005340576
158,Albania, ALB,2002,male,35-54 years,382139,9.16,1573,Boomers,4.64400005340576
159,Albania, ALB,2002,male,55-74 years,198130,6.56,1573,Silent,4.64400005340576
160,Albania, ALB,2002,male,15-24 years,263067,5.7,1573,Millenials,4.64400005340576
161,Albania, ALB,2002,female,15-24 years,275970,5.07,1573,Millenials,4.64400005340576
162,Albania, ALB,2002,female,35-54 years,375113,4.0,1573,Boomers,4.64400005340576
163,Albania, ALB,2002,female,25-34 years,223685,3.13,1573,Generation X,4.64400005340576
164,Albania, ALB,2002,female,75+ years,47407,2.11,1573,Silent,4.64400005340576
165,Albania, ALB,2002,female,55-74 years,191712,2.09,1573,Silent,4.64400005340576
166,Albania, ALB,2002,female,5-14 years,304850,0.33,1573,Millenials,4.64400005340576
167,Albania, ALB,2002,male,5-14 years,319473,0.31,1573,Millenials,4.64400005340576
168,Albania, ALB,2003,female,75+ years,49088,12.22,2021,Silent,4.64400005340576
169,Albania, ALB,2003,male,55-74 years,201520,7.94,2021,Silent,4.64400005340576
170,Albania, ALB,2003,male,35-54 years,386196,7.25,2021,Boomers,4.64400005340576
171,Albania, ALB,2003,male,15-24 years,273235,5.49,2021,Millenials,4.64400005340576
172,Albania, ALB,2003,female,15-24 years,283709,4.93,2021,Millenials,4.64400005340576
173,Albania, ALB,2003,female,55-74 years,195699,4.6,2021,Silent,4.64400005340576
174,Albania, ALB,2003,male,25-34 years,205433,4.38,2021,Generation X,4.64400005340576
175,Albania, ALB,2003,female,25-34 years,222941,4.04,2021,Generation X,4.64400005340576
176,Albania, ALB,2003,female,35-54 years,381760,3.41,2021,Boomers,4.64400005340576
177,Albania, ALB,2003,male,75+ years,32667,3.06,2021,Silent,4.64400005340576
178,Albania, ALB,2003,male,5-14 years,313204,1.28,2021,Millenials,4.64400005340576
179,Albania, ALB,2003,female,5-14 years,298477,0.0,2021,Millenials,4.64400005340576
180,Albania, ALB,2004,male,75+ years,35526,11.26,2544,Silent,4.64400005340576
181,Albania, ALB,2004,male,35-54 years,391767,9.95,2544,Boomers,4.64400005340576
182,Albania, ALB,2004,male,25-34 years,203938,7.85,2544,Generation X,4.64400005340576
183,Albania, ALB,2004,female,15-24 years,292268,6.84,2544,Millenials,4.64400005340576
184,Albania, ALB,2004,male,15-24 years,286768,6.63,2544,Millenials,4.64400005340576
185,Albania, ALB,2004,female,75+ years,50970,5.89,2544,Silent,4.64400005340576
186,Albania, ALB,2004,female,25-34 years,222389,4.95,2544,Generation X,4.64400005340576
187,Albania, ALB,2004,male,55-74 years,207202,4.83,2544,Silent,4.64400005340576
188,Albania, ALB,2004,female,35-54 years,391436,4.34,2544,Boomers,4.64400005340576
189,Albania, ALB,2004,female,55-74 years,203841,1.47,2544,Silent,4.64400005340576
190,Albania, ALB,2004,female,5-14 years,286705,1.05,2544,Millenials,4.64400005340576
191,Albania, ALB,2004,male,5-14 years,302181,0.33,2544,Millenials,4.64400005340576
192,Albania, ALB,2005,female,15-24 years,281922,0.0,2931,Millenials,4.64400005340576
193,Albania, ALB,2005,female,25-34 years,190745,0.0,2931,Generation X,4.64400005340576
194,Albania, ALB,2005,female,35-54 years,386513,0.0,2931,Boomers,4.64400005340576
195,Albania, ALB,2005,female,5-14 years,276559,0.0,2931,Millenials,4.64400005340576
196,Albania, ALB,2005,female,55-74 years,210998,0.0,2931,Silent,4.64400005340576
197,Albania, ALB,2005,female,75+ years,53191,0.0,2931,Silent,4.64400005340576
198,Albania, ALB,2005,male,15-24 years,281675,0.0,2931,Millenials,4.64400005340576
199,Albania, ALB,2005,male,25-34 years,177519,0.0,2931,Generation X,4.64400005340576
200,Albania, ALB,2005,male,35-54 years,380242,0.0,2931,Boomers,4.64400005340576
201,Albania, ALB,2005,male,5-14 years,291367,0.0,2931,Millenials,4.64400005340576
202,Albania, ALB,2005,male,55-74 years,214118,0.0,2931,Silent,4.64400005340576
203,Albania, ALB,2005,male,75+ years,38471,0.0,2931,Silent,4.64400005340576
204,Albania, ALB,2006,female,15-24 years,283138,0.0,3235,Millenials,4.64400005340576
205,Albania, ALB,2006,female,25-34 years,186391,0.0,3235,Generation X,4.64400005340576
206,Albania, ALB,2006,female,35-54 years,388746,0.0,3235,Boomers,4.64400005340576
207,Albania, ALB,2006,female,5-14 years,267316,0.0,3235,Millenials,4.64400005340576
208,Albania, ALB,2006,female,55-74 years,215907,0.0,3235,Silent,4.64400005340576
209,Albania, ALB,2006,female,75+ years,56011,0.0,3235,Silent,4.64400005340576
210,Albania, ALB,2006,male,15-24 years,286679,0.0,3235,Millenials,4.64400005340576
211,Albania, ALB,2006,male,25-34 years,174092,0.0,3235,Generation X,4.64400005340576
212,Albania, ALB,2006,male,35-54 years,379076,0.0,3235,Boomers,4.64400005340576
213,Albania, ALB,2006,male,5-14 years,282678,0.0,3235,Millenials,4.64400005340576
214,Albania, ALB,2006,male,55-74 years,219360,0.0,3235,Silent,4.64400005340576
215,Albania, ALB,2006,male,75+ years,40782,0.0,3235,Silent,4.64400005340576
216,Albania, ALB,2007,male,75+ years,42366,18.88,3863,Silent,4.64400005340576
217,Albania, ALB,2007,male,35-54 years,378626,7.66,3863,Boomers,4.64400005340576
218,Albania, ALB,2007,male,55-74 years,224160,6.25,3863,Silent,4.64400005340576
219,Albania, ALB,2007,female,75+ years,57404,5.23,3863,Silent,4.64400005340576
220,Albania, ALB,2007,male,25-34 years,172494,5.22,3863,Generation X,4.64400005340576
221,Albania, ALB,2007,female,15-24 years,281080,4.63,3863,Millenials,4.64400005340576
222,Albania, ALB,2007,male,15-24 years,288349,4.51,3863,Millenials,4.64400005340576
223,Albania, ALB,2007,female,25-34 years,183629,4.36,3863,Generation X,4.64400005340576
224,Albania, ALB,2007,female,55-74 years,221120,4.07,3863,Silent,4.64400005340576
225,Albania, ALB,2007,female,35-54 years,391811,3.57,3863,Boomers,4.64400005340576
226,Albania, ALB,2007,male,5-14 years,272497,1.47,3863,Generation Z,4.64400005340576
227,Albania, ALB,2007,female,5-14 years,256808,0.0,3863,Generation Z,4.64400005340576
228,Albania, ALB,2008,male,25-34 years,172855,12.15,4672,Generation X,4.64400005340576
229,Albania, ALB,2008,male,35-54 years,377119,9.81,4672,Boomers,4.64400005340576
230,Albania, ALB,2008,male,55-74 years,228672,9.18,4672,Silent,4.64400005340576
231,Albania, ALB,2008,female,75+ years,59369,8.42,4672,Silent,4.64400005340576
232,Albania, ALB,2008,female,15-24 years,276073,7.24,4672,Millenials,4.64400005340576
233,Albania, ALB,2008,female,25-34 years,182663,4.93,4672,Generation X,4.64400005340576
234,Albania, ALB,2008,female,35-54 years,393832,4.82,4672,Boomers,4.64400005340576
235,Albania, ALB,2008,male,75+ years,44574,4.49,4672,Silent,4.64400005340576
236,Albania, ALB,2008,male,15-24 years,286702,3.84,4672,Millenials,4.64400005340576
237,Albania, ALB,2008,female,55-74 years,226448,3.09,4672,Silent,4.64400005340576
238,Albania, ALB,2008,male,5-14 years,262464,2.67,4672,Generation Z,4.64400005340576
239,Albania, ALB,2008,female,5-14 years,246288,0.41,4672,Generation Z,4.64400005340576
240,Albania, ALB,2009,female,15-24 years,270003,0.0,4387,Millenials,4.64400005340576
241,Albania, ALB,2009,female,25-34 years,182712,0.0,4387,Generation X,4.64400005340576
242,Albania, ALB,2009,female,35-54 years,394286,0.0,4387,Boomers,4.64400005340576
243,Albania, ALB,2009,female,5-14 years,236174,0.0,4387,Generation Z,4.64400005340576
244,Albania, ALB,2009,female,55-74 years,233302,0.0,4387,Silent,4.64400005340576
245,Albania, ALB,2009,female,75+ years,61582,0.0,4387,Silent,4.64400005340576
246,Albania, ALB,2009,male,15-24 years,283448,0.0,4387,Millenials,4.64400005340576
247,Albania, ALB,2009,male,25-34 years,174955,0.0,4387,Generation X,4.64400005340576
248,Albania, ALB,2009,male,35-54 years,374365,0.0,4387,Boomers,4.64400005340576
249,Albania, ALB,2009,male,5-14 years,253007,0.0,4387,Generation Z,4.64400005340576
250,Albania, ALB,2009,male,55-74 years,234570,0.0,4387,Silent,4.64400005340576
251,Albania, ALB,2009,male,75+ years,47331,0.0,4387,Silent,4.64400005340576
252,Albania, ALB,2010,male,55-74 years,241852,8.27,4359,Silent,4.64400005340576
253,Albania, ALB,2010,male,35-54 years,371611,5.38,4359,Generation X,4.64400005340576
254,Albania, ALB,2010,male,25-34 years,179720,5.01,4359,Generation X,4.64400005340576
255,Albania, ALB,2010,male,75+ years,50767,3.94,4359,Silent,4.64400005340576
256,Albania, ALB,2010,male,15-24 years,279508,3.58,4359,Millenials,4.64400005340576
257,Albania, ALB,2010,female,25-34 years,183579,3.27,4359,Generation X,4.64400005340576
258,Albania, ALB,2010,female,75+ years,64415,3.1,4359,Silent,4.64400005340576
259,Albania, ALB,2010,female,35-54 years,394593,3.04,4359,Generation X,4.64400005340576
260,Albania, ALB,2010,female,55-74 years,241491,2.9,4359,Silent,4.64400005340576
261,Albania, ALB,2010,female,15-24 years,263581,2.28,4359,Millenials,4.64400005340576
262,Albania, ALB,2010,female,5-14 years,223969,0.89,4359,Generation Z,4.64400005340576
263,Albania, ALB,2010,male,5-14 years,240939,0.0,4359,Generation Z,4.64400005340576
264,Antigua and Barbuda, ATG,1985,female,15-24 years,7709,0.0,3850,Generation X,
265,Antigua and Barbuda, ATG,1985,female,25-34 years,6344,0.0,3850,Boomers,
266,Antigua and Barbuda, ATG,1985,female,35-54 years,6173,0.0,3850,Silent,
267,Antigua and Barbuda, ATG,1985,female,5-14 years,7339,0.0,3850,Generation X,
268,Antigua and Barbuda, ATG,1985,female,55-74 years,3778,0.0,3850,G.I. Generation,
269,Antigua and Barbuda, ATG,1985,female,75+ years,949,0.0,3850,G.I. Generation,
270,Antigua and Barbuda, ATG,1985,male,15-24 years,7667,0.0,3850,Generation X,
271,Antigua and Barbuda, ATG,1985,male,25-34 years,6194,0.0,3850,Boomers,
272,Antigua and Barbuda, ATG,1985,male,35-54 years,5970,0.0,3850,Silent,
273,Antigua and Barbuda, ATG,1985,male,5-14 years,7304,0.0,3850,Generation X,
274,Antigua and Barbuda, ATG,1985,male,55-74 years,2723,0.0,3850,G.I. Generation,
275,Antigua and Barbuda, ATG,1985,male,75+ years,424,0.0,3850,G.I. Generation,
276,Antigua and Barbuda, ATG,1986,female,15-24 years,7668,0.0,4740,Generation X,
277,Antigua and Barbuda, ATG,1986,female,25-34 years,6209,0.0,4740,Boomers,
278,Antigua and Barbuda, ATG,1986,female,35-54 years,6101,0.0,4740,Silent,
279,Antigua and Barbuda, ATG,1986,female,5-14 years,6907,0.0,4740,Generation X,
280,Antigua and Barbuda, ATG,1986,female,55-74 years,3764,0.0,4740,G.I. Generation,
281,Antigua and Barbuda, ATG,1986,female,75+ years,1014,0.0,4740,G.I. Generation,
282,Antigua and Barbuda, ATG,1986,male,15-24 years,7563,0.0,4740,Generation X,
283,Antigua and Barbuda, ATG,1986,male,25-34 years,6023,0.0,4740,Boomers,
284,Antigua and Barbuda, ATG,1986,male,35-54 years,5947,0.0,4740,Silent,
285,Antigua and Barbuda, ATG,1986,male,5-14 years,6827,0.0,4740,Generation X,
286,Antigua and Barbuda, ATG,1986,male,55-74 years,2771,0.0,4740,G.I. Generation,
287,Antigua and Barbuda, ATG,1986,male,75+ years,476,0.0,4740,G.I. Generation,
288,Antigua and Barbuda, ATG,1987,female,15-24 years,7583,0.0,5595,Generation X,
289,Antigua and Barbuda, ATG,1987,female,25-34 years,6101,0.0,5595,Boomers,
290,Antigua and Barbuda, ATG,1987,female,35-54 years,6059,0.0,5595,Silent,
291,Antigua and Barbuda, ATG,1987,female,5-14 years,6623,0.0,5595,Generation X,
292,Antigua and Barbuda, ATG,1987,female,55-74 years,3738,0.0,5595,G.I. Generation,
293,Antigua and Barbuda, ATG,1987,female,75+ years,1081,0.0,5595,G.I. Generation,
294,Antigua and Barbuda, ATG,1987,male,15-24 years,7421,0.0,5595,Generation X,
295,Antigua and Barbuda, ATG,1987,male,25-34 years,5893,0.0,5595,Boomers,
296,Antigua and Barbuda, ATG,1987,male,35-54 years,5927,0.0,5595,Silent,
297,Antigua and Barbuda, ATG,1987,male,5-14 years,6499,0.0,5595,Generation X,
298,Antigua and Barbuda, ATG,1987,male,55-74 years,2798,0.0,5595,G.I. Generation,
299,Antigua and Barbuda, ATG,1987,male,75+ years,538,0.0,5595,G.I. Generation,
300,Antigua and Barbuda, ATG,1988,female,15-24 years,7413,0.0,6693,Generation X,
301,Antigua and Barbuda, ATG,1988,female,25-34 years,6041,0.0,6693,Boomers,
302,Antigua and Barbuda, ATG,1988,female,35-54 years,6021,0.0,6693,Silent,
303,Antigua and Barbuda, ATG,1988,female,5-14 years,6527,0.0,6693,Generation X,
304,Antigua and Barbuda, ATG,1988,female,55-74 years,3708,0.0,6693,G.I. Generation,
305,Antigua and Barbuda, ATG,1988,female,75+ years,1141,0.0,6693,G.I. Generation,
306,Antigua and Barbuda, ATG,1988,male,15-24 years,7209,0.0,6693,Generation X,
307,Antigua and Barbuda, ATG,1988,male,25-34 years,5826,0.0,6693,Boomers,
308,Antigua and Barbuda, ATG,1988,male,35-54 years,5907,0.0,6693,Silent,
309,Antigua and Barbuda, ATG,1988,male,5-14 years,6355,0.0,6693,Generation X,
310,Antigua and Barbuda, ATG,1988,male,55-74 years,2813,0.0,6693,G.I. Generation,
311,Antigua and Barbuda, ATG,1988,male,75+ years,603,0.0,6693,G.I. Generation,
312,Antigua and Barbuda, ATG,1989,female,15-24 years,7152,0.0,7407,Generation X,
313,Antigua and Barbuda, ATG,1989,female,25-34 years,6059,0.0,7407,Boomers,
314,Antigua and Barbuda, ATG,1989,female,35-54 years,5969,0.0,7407,Silent,
315,Antigua and Barbuda, ATG,1989,female,5-14 years,6621,0.0,7407,Generation X,
316,Antigua and Barbuda, ATG,1989,female,55-74 years,3696,0.0,7407,G.I. Generation,
